sequence_id,frame_id,actor_id,motion_type,joint_name,x,y,z,servo_1_pos,servo_2_pos,servo_3_pos,torque_1,torque_2,torque_3,motion_quality_score
1,4,actor_04,running,RightFoot,0.103,1.099,0.703,23.86,76.86,16.33,0.461,0.115,0.363,0.876
1,5,actor_04,running,Head,0.004,1.566,-0.477,71.27,20.21,85.33,0.324,0.256,0.389,0.876
1,5,actor_04,running,Spine,0.799,1.129,0.592,35.71,0.42,2.11,0.288,0.205,0.204,0.876
1,5,actor_04,running,LeftHand,-0.7,1.61,-0.508,70.67,13.88,59.85,0.443,0.187,0.192,0.876
1,5,actor_04,running,RightHand,0.361,1.31,-0.166,16.04,22.61,19.47,0.459,0.252,0.298,0.876
1,5,actor_04,running,LeftFoot,-0.237,1.631,-0.27,58.57,0.06,85.39,0.282,0.247,0.345,0.876
1,5,actor_04,running,RightFoot,-0.182,1.52,-0.01,22.21,1.03,40.35,0.404,0.379,0.139,0.876
1,6,actor_04,running,Head,-1.477,1.498,0.137,79.88,65.89,17.49,0.388,0.208,0.214,0.876
1,6,actor_04,running,Spine,-0.48,1.294,-0.113,22.66,32.14,27.16,0.175,0.213,0.272,0.876
1,6,actor_04,running,LeftHand,-0.361,1.716,-0.066,56.7,12.94,23.53,0.322,0.407,0.142,0.876
1,6,actor_04,running,RightHand,0.843,1.022,0.196,68.72,74.4,60.13,0.33,0.102,0.48,0.876
1,6,actor_04,running,LeftFoot,0.171,1.261,-0.137,7.64,80.82,29.26,0.443,0.142,0.161,0.876
1,6,actor_04,running,RightFoot,-0.006,1.757,-0.683,25.46,32.72,73.69,0.281,0.251,0.147,0.876
1,7,actor_04,running,Head,-0.269,1.49,-0.095,4.27,37.06,81.16,0.256,0.147,0.471,0.876
1,7,actor_04,running,Spine,-0.086,1.466,-0.376,59.32,29.3,31.25,0.212,0.19,0.244,0.876
1,7,actor_04,running,LeftHand,-0.42,1.363,0.724,10.74,54.09,34.68,0.143,0.132,0.211,0.876
1,7,actor_04,running,RightHand,-0.165,1.785,0.174,24.26,66.02,65.61,0.22,0.303,0.225,0.876
1,7,actor_04,running,LeftFoot,0.647,1.284,0.634,1.25,72.23,27.26,0.378,0.23,0.388,0.876
1,7,actor_04,running,RightFoot,0.644,1.446,0.057,86.46,11.66,56.99,0.495,0.263,0.115,0.876
1,8,actor_04,running,Head,0.219,1.677,0.002,27.76,21.76,15.05,0.273,0.46,0.129,0.876
1,8,actor_04,running,Spine,0.033,1.83,0.529,59.09,15.17,59.11,0.325,0.401,0.231,0.876
1,8,actor_04,running,LeftHand,-0.358,1.175,0.526,39.06,5.11,48.35,0.448,0.455,0.237,0.876
1,8,actor_04,running,RightHand,-0.547,1.253,0.583,48.21,22.59,33.67,0.487,0.362,0.354,0.876
1,8,actor_04,running,LeftFoot,0.179,1.455,0.537,76.94,40.39,19.29,0.28,0.138,0.281,0.876
1,8,actor_04,running,RightFoot,-0.532,1.765,-0.472,34.61,47.4,25.92,0.227,0.279,0.385,0.876
1,9,actor_04,running,Head,-0.521,1.559,0.083,10.75,58.01,46.55,0.458,0.173,0.477,0.876
1,9,actor_04,running,Spine,0.923,1.3,-0.372,21.54,67.5,12.05,0.242,0.474,0.285,0.876
1,9,actor_04,running,LeftHand,1.199,1.656,0.278,41.27,53.02,26.57,0.149,0.161,0.335,0.876
1,9,actor_04,running,RightHand,-0.611,1.974,-0.396,20.61,21.15,43.55,0.182,0.188,0.384,0.876
1,9,actor_04,running,LeftFoot,-0.364,1.574,-0.272,19.34,27.33,33.64,0.452,0.13,0.207,0.876
1,9,actor_04,running,RightFoot,-0.536,1.163,-0.594,8.58,88.68,49.87,0.441,0.305,0.306,0.876
1,10,actor_04,running,Head,0.296,1.756,-0.05,19.94,79.39,87.68,0.383,0.486,0.112,0.876
1,10,actor_04,running,Spine,0.287,1.297,-0.328,17.6,4.75,61.93,0.157,0.296,0.137,0.876
1,10,actor_04,running,LeftHand,-0.216,1.751,0.633,59.72,80.23,83.48,0.332,0.206,0.235,0.876
1,10,actor_04,running,RightHand,0.203,1.527,-0.193,37.77,78.98,55.41,0.241,0.175,0.133,0.876
1,10,actor_04,running,LeftFoot,-0.736,1.234,0.331,69.12,25.16,55.76,0.223,0.399,0.389,0.876
1,10,actor_04,running,RightFoot,0.35,1.364,0.449,54.67,79.56,33.61,0.424,0.178,0.269,0.876
1,11,actor_04,running,Head,0.198,1.604,-0.734,82.85,13.81,44.06,0.332,0.182,0.348,0.876
1,11,actor_04,running,Spine,0.205,1.615,0.169,64.36,59.6,61.58,0.227,0.258,0.482,0.876
1,11,actor_04,running,LeftHand,0.919,1.331,-0.138,7.19,65.65,14.59,0.178,0.472,0.418,0.876
1,11,actor_04,running,RightHand,-0.025,1.659,0.524,60.75,47.84,82.66,0.469,0.251,0.486,0.876
1,11,actor_04,running,LeftFoot,0.217,1.286,0.425,24.55,5.4,14.66,0.386,0.231,0.343,0.876
1,11,actor_04,running,RightFoot,0.474,1.752,-0.623,18.03,41.87,81.85,0.192,0.488,0.478,0.876
1,12,actor_04,running,Head,-0.249,1.491,0.653,56.55,84.42,68.57,0.364,0.186,0.16,0.876
1,12,actor_04,running,Spine,0.916,1.593,-0.872,79.64,2.21,79.05,0.405,0.114,0.305,0.876
1,12,actor_04,running,LeftHand,0.164,1.789,0.285,23.44,35.38,28.92,0.477,0.131,0.15,0.876
1,12,actor_04,running,RightHand,0.545,1.544,-0.563,35.25,57.77,26.87,0.271,0.237,0.361,0.876
1,12,actor_04,running,LeftFoot,-0.558,1.602,0.504,61.39,55.33,72.33,0.313,0.482,0.219,0.876
1,12,actor_04,running,RightFoot,-0.36,1.856,-0.253,60.06,20.94,48.99,0.161,0.218,0.308,0.876
1,13,actor_04,running,Head,1.087,1.37,-0.543,55.26,82.37,88.91,0.26,0.484,0.367,0.876
1,13,actor_04,running,Spine,-0.25,1.533,-0.713,29.56,18.14,21.39,0.483,0.361,0.478,0.876
1,13,actor_04,running,LeftHand,0.384,1.355,0.653,13.47,81.19,76.93,0.484,0.492,0.112,0.876
1,13,actor_04,running,RightHand,-0.238,1.545,-0.067,72.28,3.2,66.5,0.404,0.262,0.177,0.876
1,13,actor_04,running,LeftFoot,-0.056,1.625,-0.779,20.64,76.97,70.82,0.207,0.45,0.498,0.876
1,13,actor_04,running,RightFoot,1.25,1.412,0.45,65.29,73.71,32.67,0.117,0.434,0.291,0.876
1,14,actor_04,running,Head,-0.652,1.448,-0.276,54.02,40.84,63.13,0.349,0.226,0.45,0.876
1,14,actor_04,running,Spine,0.587,1.617,-0.532,70.22,69.11,48.47,0.419,0.107,0.121,0.876
1,14,actor_04,running,LeftHand,-0.294,1.393,-0.209,64.0,3.17,43.68,0.365,0.347,0.352,0.876
1,14,actor_04,running,RightHand,0.807,1.175,0.509,61.03,23.23,10.11,0.107,0.349,0.238,0.876
1,14,actor_04,running,LeftFoot,-0.495,1.708,-0.102,52.95,60.86,68.48,0.176,0.235,0.103,0.876
1,14,actor_04,running,RightFoot,0.077,1.578,0.239,1.65,33.69,76.25,0.442,0.165,0.353,0.876
1,15,actor_04,running,Head,-0.676,1.352,0.412,81.06,31.76,86.51,0.477,0.291,0.366,0.876
1,15,actor_04,running,Spine,0.163,1.388,-0.113,54.62,32.68,20.73,0.102,0.199,0.358,0.876
1,15,actor_04,running,LeftHand,0.073,1.517,-0.871,69.53,66.51,37.74,0.267,0.149,0.461,0.876
1,15,actor_04,running,RightHand,0.464,1.843,0.485,42.04,0.19,62.3,0.202,0.264,0.245,0.876
1,15,actor_04,running,LeftFoot,0.806,1.353,0.737,89.62,16.09,51.81,0.173,0.352,0.418,0.876
1,15,actor_04,running,RightFoot,-0.301,1.381,0.228,52.53,45.85,5.27,0.498,0.298,0.182,0.876
1,16,actor_04,running,Head,-0.37,1.31,-0.376,67.55,36.69,15.65,0.321,0.205,0.234,0.876
1,16,actor_04,running,Spine,0.954,1.963,-0.464,52.32,18.94,86.33,0.153,0.267,0.469,0.876
1,16,actor_04,running,LeftHand,-1.127,1.315,-0.741,61.84,82.19,83.91,0.312,0.499,0.274,0.876
1,16,actor_04,running,RightHand,0.745,1.634,-0.419,30.3,43.69,44.68,0.373,0.459,0.249,0.876
1,16,actor_04,running,LeftFoot,-0.378,1.789,-0.292,42.55,30.4,9.81,0.409,0.37,0.131,0.876
1,16,actor_04,running,RightFoot,-0.126,1.426,0.768,38.04,37.18,89.81,0.444,0.218,0.209,0.876
1,17,actor_04,running,Head,0.015,1.573,0.419,70.34,29.33,56.6,0.137,0.133,0.15,0.876
1,17,actor_04,running,Spine,0.047,1.374,0.245,26.85,31.88,38.58,0.384,0.329,0.463,0.876
1,17,actor_04,running,LeftHand,0.507,1.558,0.594,88.43,36.38,42.97,0.219,0.494,0.329,0.876
1,17,actor_04,running,RightHand,0.527,1.365,0.555,75.96,55.99,6.42,0.187,0.401,0.43,0.876
1,17,actor_04,running,LeftFoot,-0.592,1.742,-0.14,70.46,82.33,6.19,0.361,0.407,0.276,0.876
1,17,actor_04,running,RightFoot,0.254,1.461,-0.421,53.77,73.13,34.29,0.448,0.446,0.182,0.876
1,18,actor_04,running,Head,0.328,1.158,0.368,22.6,44.05,76.3,0.248,0.368,0.187,0.876
1,18,actor_04,running,Spine,0.879,1.519,0.218,29.91,75.92,5.61,0.152,0.166,0.44,0.876
1,18,actor_04,running,LeftHand,-0.551,1.519,0.56,15.13,53.19,23.12,0.156,0.27,0.123,0.876
1,18,actor_04,running,RightHand,-0.73,1.759,-0.079,86.35,76.69,76.08,0.312,0.411,0.239,0.876
1,18,actor_04,running,LeftFoot,-0.221,1.547,-0.285,78.33,65.97,14.93,0.434,0.368,0.234,0.876
1,18,actor_04,running,RightFoot,-0.241,1.773,0.117,81.47,52.79,87.73,0.342,0.244,0.364,0.876
1,19,actor_04,running,Head,-0.084,1.564,-0.344,46.92,12.57,68.22,0.473,0.283,0.406,0.876
1,19,actor_04,running,Spine,0.407,1.395,0.647,57.11,38.35,7.6,0.325,0.492,0.23,0.876
1,19,actor_04,running,LeftHand,0.089,1.196,0.333,35.59,56.78,67.02,0.355,0.125,0.243,0.876
1,19,actor_04,running,RightHand,-0.174,1.969,-0.642,64.29,35.44,44.1,0.398,0.452,0.251,0.876
1,19,actor_04,running,LeftFoot,-0.165,1.468,0.371,42.76,50.99,67.72,0.195,0.267,0.356,0.876
1,19,actor_04,running,RightFoot,-0.789,1.585,0.829,26.17,75.34,54.05,0.291,0.415,0.384,0.876
1,20,actor_04,running,Head,0.273,1.39,-0.396,40.63,35.52,73.49,0.418,0.386,0.212,0.876
1,20,actor_04,running,Spine,-0.32,1.219,0.014,54.91,57.83,87.37,0.279,0.335,0.237,0.876
1,20,actor_04,running,LeftHand,-0.404,1.573,-0.001,29.92,56.84,70.89,0.461,0.394,0.106,0.876
1,20,actor_04,running,RightHand,0.458,1.49,0.421,23.74,34.27,84.52,0.101,0.435,0.306,0.876
1,20,actor_04,running,LeftFoot,0.145,0.985,-0.273,42.27,81.13,47.93,0.158,0.294,0.273,0.876
1,20,actor_04,running,RightFoot,0.594,1.467,0.0,50.64,72.2,74.32,0.103,0.288,0.188,0.876
1,21,actor_04,running,Head,0.168,1.866,0.95,46.61,32.91,5.9,0.19,0.468,0.132,0.876
1,21,actor_04,running,Spine,0.015,1.929,-0.769,70.82,70.88,20.49,0.178,0.345,0.428,0.876
1,21,actor_04,running,LeftHand,-0.194,1.403,-0.257,5.19,7.73,87.35,0.338,0.179,0.297,0.876
1,21,actor_04,running,RightHand,-0.732,1.273,0.407,67.64,37.38,33.2,0.3,0.383,0.176,0.876
1,21,actor_04,running,LeftFoot,0.426,1.603,0.29,15.55,25.31,56.6,0.134,0.397,0.334,0.876
1,21,actor_04,running,RightFoot,0.355,1.618,0.063,16.2,43.18,64.79,0.174,0.408,0.243,0.876
1,22,actor_04,running,Head,0.081,1.362,-0.028,79.61,9.81,51.54,0.127,0.398,0.214,0.876
1,22,actor_04,running,Spine,-0.679,1.383,-0.317,40.18,23.89,15.99,0.411,0.471,0.375,0.876
1,22,actor_04,running,LeftHand,-0.348,1.457,0.266,78.72,54.8,51.5,0.157,0.294,0.219,0.876
1,22,actor_04,running,RightHand,-0.019,1.32,-0.205,1.6,75.53,34.37,0.283,0.411,0.466,0.876
1,22,actor_04,running,LeftFoot,-0.438,1.503,-0.182,85.9,50.84,11.25,0.251,0.497,0.433,0.876
1,22,actor_04,running,RightFoot,0.4,1.32,-0.245,75.02,12.35,52.01,0.478,0.346,0.366,0.876
1,23,actor_04,running,Head,-0.231,1.586,-0.228,53.68,73.36,35.24,0.183,0.34,0.245,0.876
1,23,actor_04,running,Spine,0.638,1.594,-0.427,69.98,56.04,3.59,0.394,0.394,0.416,0.876
1,23,actor_04,running,LeftHand,0.703,1.706,-0.533,57.95,32.89,75.9,0.494,0.298,0.453,0.876
1,23,actor_04,running,RightHand,0.035,2.016,0.762,60.62,60.41,20.93,0.354,0.15,0.341,0.876
1,23,actor_04,running,LeftFoot,0.024,1.476,0.029,44.75,76.97,58.82,0.348,0.163,0.194,0.876
1,23,actor_04,running,RightFoot,0.43,1.628,0.094,23.57,83.98,80.51,0.177,0.328,0.457,0.876
1,24,actor_04,running,Head,0.058,1.501,-0.206,13.97,85.37,14.01,0.347,0.285,0.212,0.876
1,24,actor_04,running,Spine,0.153,1.441,0.26,56.11,29.07,17.99,0.239,0.414,0.158,0.876
1,24,actor_04,running,LeftHand,-0.103,1.539,-0.388,67.94,73.83,61.28,0.353,0.44,0.186,0.876
1,24,actor_04,running,RightHand,-0.273,1.084,0.274,80.82,32.79,38.01,0.249,0.38,0.351,0.876
1,24,actor_04,running,LeftFoot,0.002,1.699,-0.989,24.94,74.81,5.79,0.182,0.385,0.277,0.876
1,24,actor_04,running,RightFoot,0.861,1.375,-0.063,20.43,50.88,18.73,0.421,0.262,0.493,0.876
1,25,actor_04,running,Head,0.204,1.492,-0.925,50.12,46.62,0.63,0.473,0.376,0.499,0.876
1,25,actor_04,running,Spine,0.13,1.679,-0.751,22.63,59.87,36.96,0.466,0.105,0.268,0.876
1,25,actor_04,running,LeftHand,-0.265,1.447,-0.529,27.47,43.79,9.88,0.206,0.453,0.132,0.876
1,25,actor_04,running,RightHand,0.382,1.78,0.79,53.03,17.87,51.8,0.299,0.243,0.303,0.876
1,25,actor_04,running,LeftFoot,0.044,1.552,-0.002,18.4,51.35,3.46,0.438,0.183,0.366,0.876
1,25,actor_04,running,RightFoot,0.803,1.293,-0.122,59.68,35.37,0.25,0.394,0.121,0.404,0.876
1,26,actor_04,running,Head,-1.006,1.646,0.234,81.2,17.14,89.7,0.459,0.165,0.301,0.876
1,26,actor_04,running,Spine,0.82,1.187,0.251,21.43,10.77,65.24,0.343,0.415,0.448,0.876
1,26,actor_04,running,LeftHand,0.383,1.279,-0.527,35.83,8.44,24.04,0.368,0.242,0.187,0.876
1,26,actor_04,running,RightHand,0.468,1.686,-0.843,55.7,38.74,62.53,0.191,0.144,0.358,0.876
1,26,actor_04,running,LeftFoot,0.006,1.43,0.302,71.87,8.31,35.02,0.345,0.259,0.424,0.876
1,26,actor_04,running,RightFoot,-0.02,1.45,-0.238,66.05,26.98,72.79,0.196,0.232,0.43,0.876
1,27,actor_04,running,Head,-0.951,1.525,0.182,78.31,67.46,13.69,0.435,0.111,0.24,0.876
1,27,actor_04,running,Spine,-0.227,1.227,0.076,62.63,21.93,67.4,0.425,0.327,0.392,0.876
1,27,actor_04,running,LeftHand,0.438,1.403,0.386,50.37,41.69,58.81,0.172,0.322,0.342,0.876
1,27,actor_04,running,RightHand,-0.189,1.765,-0.055,20.07,83.34,79.6,0.491,0.473,0.368,0.876
1,27,actor_04,running,LeftFoot,0.042,1.47,-0.539,63.63,20.13,2.36,0.123,0.235,0.43,0.876
1,27,actor_04,running,RightFoot,0.637,1.635,0.892,24.81,29.83,76.7,0.165,0.411,0.164,0.876
1,28,actor_04,running,Head,-0.266,1.642,0.575,28.61,60.1,9.78,0.198,0.198,0.26,0.876
1,28,actor_04,running,Spine,0.003,1.317,-0.579,33.16,68.92,67.1,0.353,0.232,0.239,0.876
1,28,actor_04,running,LeftHand,0.098,1.335,-0.75,8.13,60.56,87.36,0.272,0.337,0.384,0.876
1,28,actor_04,running,RightHand,0.565,1.442,-0.838,50.34,71.51,63.16,0.349,0.159,0.179,0.876
1,28,actor_04,running,LeftFoot,0.019,1.636,0.841,64.52,68.52,0.91,0.173,0.189,0.418,0.876
1,28,actor_04,running,RightFoot,-0.452,1.678,0.743,29.59,67.72,43.93,0.146,0.367,0.285,0.876
1,29,actor_04,running,Head,0.064,1.814,0.042,55.1,54.82,10.76,0.403,0.322,0.303,0.876
1,29,actor_04,running,Spine,0.088,1.985,0.088,9.16,29.87,75.91,0.387,0.474,0.359,0.876
1,29,actor_04,running,LeftHand,-0.134,1.616,0.026,31.95,52.35,42.81,0.15,0.402,0.101,0.876
1,29,actor_04,running,RightHand,-0.7,1.197,0.403,12.57,81.47,83.6,0.331,0.421,0.49,0.876
1,29,actor_04,running,LeftFoot,0.277,1.637,0.622,85.1,20.37,52.2,0.19,0.344,0.154,0.876
1,29,actor_04,running,RightFoot,0.432,1.554,-0.306,41.19,63.26,81.67,0.408,0.39,0.488,0.876
1,30,actor_04,running,Head,0.357,1.908,-0.787,2.67,22.83,22.34,0.185,0.325,0.355,0.876
1,30,actor_04,running,Spine,-0.201,1.485,0.298,80.31,30.83,53.49,0.441,0.327,0.104,0.876
1,30,actor_04,running,LeftHand,0.477,1.644,-0.39,20.13,67.56,89.99,0.159,0.18,0.226,0.876
1,30,actor_04,running,RightHand,0.181,1.743,0.004,38.89,87.09,50.64,0.219,0.11,0.222,0.876
1,30,actor_04,running,LeftFoot,0.077,1.604,0.418,42.2,3.35,38.81,0.321,0.314,0.345,0.876
1,30,actor_04,running,RightFoot,-0.371,1.432,0.114,45.52,7.83,42.49,0.172,0.488,0.49,0.876
1,31,actor_04,running,Head,0.54,1.523,-0.468,88.41,12.84,3.45,0.119,0.171,0.127,0.876
1,31,actor_04,running,Spine,1.042,1.634,0.692,84.95,87.49,4.43,0.181,0.257,0.349,0.876
1,31,actor_04,running,LeftHand,-0.017,1.599,-0.529,74.24,82.5,66.5,0.136,0.232,0.488,0.876
1,31,actor_04,running,RightHand,-0.839,1.787,0.055,37.97,51.45,70.62,0.383,0.225,0.459,0.876
1,31,actor_04,running,LeftFoot,-0.158,1.505,0.172,51.52,27.45,5.74,0.412,0.326,0.128,0.876
1,31,actor_04,running,RightFoot,1.22,1.69,0.11,72.81,86.49,35.98,0.237,0.398,0.272,0.876
1,32,actor_04,running,Head,0.832,1.25,0.399,88.84,51.42,11.1,0.304,0.346,0.31,0.876
1,32,actor_04,running,Spine,0.086,1.605,0.402,2.88,83.59,20.0,0.233,0.327,0.17,0.876
1,32,actor_04,running,LeftHand,0.414,1.282,1.0,30.01,49.29,74.33,0.127,0.46,0.296,0.876
1,32,actor_04,running,RightHand,-0.295,1.609,0.221,37.49,29.96,22.36,0.316,0.431,0.106,0.876
1,32,actor_04,running,LeftFoot,-0.102,1.275,0.092,88.57,21.81,71.08,0.469,0.285,0.446,0.876
1,32,actor_04,running,RightFoot,0.559,1.624,-0.129,33.19,4.51,21.92,0.171,0.308,0.167,0.876
1,33,actor_04,running,Head,0.679,1.728,-0.53,85.37,29.17,41.89,0.197,0.153,0.266,0.876
1,33,actor_04,running,Spine,-0.329,1.677,-0.26,37.62,24.82,44.0,0.137,0.334,0.455,0.876
1,33,actor_04,running,LeftHand,-0.63,1.9,-0.751,78.98,84.38,17.85,0.397,0.105,0.398,0.876
1,33,actor_04,running,RightHand,-0.155,1.809,-0.018,1.61,77.59,4.77,0.217,0.473,0.122,0.876
1,33,actor_04,running,LeftFoot,0.142,1.882,0.817,32.94,21.66,21.52,0.357,0.493,0.217,0.876
1,33,actor_04,running,RightFoot,-0.259,1.309,1.154,73.6,77.66,2.57,0.232,0.161,0.208,0.876
1,34,actor_04,running,Head,0.488,1.489,-1.014,4.63,2.71,33.72,0.365,0.155,0.106,0.876
1,34,actor_04,running,Spine,0.084,1.44,0.4,19.64,27.24,58.73,0.172,0.224,0.441,0.876
1,34,actor_04,running,LeftHand,0.205,1.58,0.307,23.92,26.6,80.77,0.249,0.312,0.107,0.876
1,34,actor_04,running,RightHand,1.047,1.559,0.374,66.42,73.79,14.35,0.249,0.312,0.25,0.876
1,34,actor_04,running,LeftFoot,-0.32,1.744,-0.304,28.85,20.03,49.66,0.335,0.228,0.1,0.876
1,34,actor_04,running,RightFoot,-0.088,1.286,0.558,73.76,1.96,18.79,0.148,0.263,0.439,0.876
1,35,actor_04,running,Head,0.259,1.373,0.586,12.17,54.05,16.94,0.404,0.22,0.443,0.876
1,35,actor_04,running,Spine,-0.599,1.48,-0.621,25.77,9.18,17.03,0.149,0.483,0.438,0.876
1,35,actor_04,running,LeftHand,-0.129,1.445,0.866,63.88,20.06,84.93,0.299,0.148,0.388,0.876
1,35,actor_04,running,RightHand,-0.123,1.617,-0.395,32.56,24.67,64.98,0.337,0.233,0.126,0.876
1,35,actor_04,running,LeftFoot,0.694,1.781,1.517,38.73,49.22,20.74,0.257,0.469,0.148,0.876
1,35,actor_04,running,RightFoot,-0.3,1.897,0.86,7.56,31.82,3.69,0.316,0.16,0.148,0.876
1,36,actor_04,running,Head,-0.472,1.328,-0.046,38.01,78.44,44.36,0.166,0.144,0.386,0.876
1,36,actor_04,running,Spine,-0.259,1.691,0.113,85.45,1.85,25.02,0.494,0.168,0.366,0.876
1,36,actor_04,running,LeftHand,-0.53,1.467,0.938,10.6,32.63,28.3,0.379,0.341,0.202,0.876
1,36,actor_04,running,RightHand,-0.491,1.682,-0.167,18.55,6.92,46.23,0.161,0.301,0.342,0.876
1,36,actor_04,running,LeftFoot,0.856,0.957,0.212,63.9,63.05,33.57,0.163,0.34,0.437,0.876
1,36,actor_04,running,RightFoot,-0.018,1.564,0.133,76.29,69.73,20.8,0.498,0.344,0.239,0.876
1,37,actor_04,running,Head,0.51,1.674,-0.772,67.35,24.36,5.62,0.148,0.39,0.436,0.876
1,37,actor_04,running,Spine,0.686,1.589,-0.616,22.83,12.37,28.4,0.101,0.362,0.277,0.876
1,37,actor_04,running,LeftHand,0.407,1.37,0.909,3.89,41.3,5.4,0.341,0.228,0.493,0.876
1,37,actor_04,running,RightHand,0.01,1.731,-0.691,19.42,79.73,30.48,0.365,0.146,0.141,0.876
1,37,actor_04,running,LeftFoot,0.445,1.467,-0.247,42.83,0.08,45.41,0.289,0.264,0.237,0.876
1,37,actor_04,running,RightFoot,-0.15,1.343,0.74,5.93,72.96,10.82,0.414,0.123,0.248,0.876
1,38,actor_04,running,Head,-0.569,1.293,0.831,41.61,54.65,37.46,0.203,0.403,0.121,0.876
1,38,actor_04,running,Spine,0.004,1.737,-0.286,64.36,47.38,33.17,0.327,0.333,0.267,0.876
1,38,actor_04,running,LeftHand,-0.395,1.332,-0.47,51.46,5.88,68.0,0.162,0.392,0.137,0.876
1,38,actor_04,running,RightHand,-0.001,1.254,0.39,49.62,5.47,74.37,0.181,0.468,0.279,0.876
1,38,actor_04,running,LeftFoot,0.621,1.545,-0.046,1.76,53.53,72.0,0.196,0.369,0.304,0.876
1,38,actor_04,running,RightFoot,0.343,1.773,-0.198,19.17,76.33,2.0,0.197,0.159,0.376,0.876
1,39,actor_04,running,Head,-0.71,1.607,-0.717,2.39,89.36,44.69,0.17,0.156,0.139,0.876
1,39,actor_04,running,Spine,-0.57,1.28,-0.225,36.3,43.87,27.35,0.346,0.477,0.278,0.876
1,39,actor_04,running,LeftHand,-0.503,1.468,0.706,67.25,52.63,14.53,0.194,0.365,0.171,0.876
1,39,actor_04,running,RightHand,-0.347,1.353,0.039,88.15,15.7,2.47,0.202,0.364,0.335,0.876
1,39,actor_04,running,LeftFoot,-0.411,1.278,-0.048,19.62,16.3,76.84,0.383,0.288,0.457,0.876
1,39,actor_04,running,RightFoot,-0.363,1.517,0.375,41.75,66.97,42.48,0.283,0.325,0.393,0.876
1,40,actor_04,running,Head,-0.868,1.589,-0.254,39.84,33.44,39.19,0.468,0.198,0.489,0.876
1,40,actor_04,running,Spine,0.027,1.512,0.077,9.3,36.56,50.52,0.198,0.433,0.245,0.876
1,40,actor_04,running,LeftHand,-0.653,1.569,-0.316,50.9,80.87,82.36,0.148,0.182,0.339,0.876
1,40,actor_04,running,RightHand,0.55,1.217,1.033,49.05,33.16,84.05,0.128,0.121,0.462,0.876
1,40,actor_04,running,LeftFoot,0.864,1.512,0.802,47.84,68.27,66.98,0.391,0.139,0.293,0.876
1,40,actor_04,running,RightFoot,0.099,1.956,0.292,40.75,81.64,12.16,0.266,0.457,0.464,0.876
1,41,actor_04,running,Head,0.267,1.64,0.712,57.9,59.61,20.67,0.122,0.35,0.295,0.876
1,41,actor_04,running,Spine,0.638,1.217,-0.739,20.86,17.43,10.64,0.218,0.165,0.3,0.876
